"Date","Open","High","Low","Close","Adj Close","Volume"
"2018-01-02",4.894499778747559,4.987500190734863,4.862500190734863,4.983749866485596,4.917025566101074,355616000
"2018-01-03",5.102499961853027,5.34250020980835,5.09375,5.3117499351501465,5.240635871887207,914704000
"2018-01-04",5.394000053405762,5.451250076293945,5.317249774932861,5.339749813079834,5.268261432647705,583268000
"2018-01-05",5.354750156402588,5.422749996185303,5.2769999504089355,5.385000228881836,5.312906742095947,580124000
"2018-01-08",5.510000228881836,5.625,5.4644999504089355,5.550000190734863,5.475696086883545,881216000
"2018-01-09",5.555500030517578,5.5954999923706055,5.466000080108643,5.548500061035156,5.474215984344482,497000000
"2018-01-10",5.454999923706055,5.5954999923706055,5.400000095367432,5.5920000076293945,5.5171332359313965,582664000
"2018-01-11",5.625,5.656750202178955,5.580249786376953,5.6020002365112305,5.526999473571777,406032000
"2018-01-12",5.590000152587891,5.624750137329102,5.5335001945495605,5.57450008392334,5.499866485595703,359916000
"2018-01-16",5.601250171661377,5.687749862670898,5.417250156402588,5.502749919891357,5.429078578948975,702348000
"2018-01-17",5.517499923706055,5.627999782562256,5.422500133514404,5.618000030517578,5.542784690856934,538408000
"2018-01-18",5.598499774932861,5.665999889373779,5.566999912261963,5.611000061035156,5.535879611968994,408632000
"2018-01-19",5.702250003814697,5.777249813079834,5.675000190734863,5.752749919891357,5.675731658935547,609380000
"2018-01-22",5.760749816894531,5.843999862670898,5.702499866485596,5.842249870300293,5.764033317565918,550944000
"2018-01-23",5.896249771118164,5.9957499504089355,5.877500057220459,5.972750186920166,5.892787933349609,475228000
"2018-01-24",5.97599983215332,6.012249946594238,5.838749885559082,5.894999980926514,5.816077709197998,579972000
"2018-01-25",5.949999809265137,5.993750095367432,5.893750190734863,5.908750057220459,5.829643726348877,409884000
"2018-01-26",5.953000068664551,6.083499908447266,5.940000057220459,6.083250045776367,6.001808166503906,516356000
"2018-01-29",6.06850004196167,6.202750205993652,6.015250205993652,6.171249866485596,6.08862829208374,455116000
"2018-01-30",6.027750015258789,6.1605000495910645,5.960249900817871,6.067999839782715,5.986761569976807,570832000
"2018-01-31",6.14424991607666,6.231750011444092,6.111249923706055,6.144999980926514,6.062729358673096,478576000
"2018-02-01",5.9629998207092285,6.172500133514404,5.951499938964844,6.012499809265137,5.932004928588867,519224000
"2018-02-02",5.925000190734863,5.949250221252441,5.779250144958496,5.8379998207092285,5.759841442108154,718464000
"2018-02-05",5.675000190734863,5.830749988555908,5.125,5.34250020980835,5.270974636077881,1165204000
"2018-02-06",5.110000133514404,5.642499923706055,5.099999904632568,5.639500141143799,5.563999176025391,1114800000
"2018-02-07",5.739500045776367,5.8742499351501465,5.667500019073486,5.71999979019165,5.643418788909912,802932000
"2018-02-08",5.8470001220703125,5.880499839782715,5.437749862670898,5.438000202178955,5.3651957511901855,1144000000
"2018-02-09",5.956250190734863,5.972249984741211,5.438000202178955,5.802000045776367,5.7243218421936035,1674604000
"2018-02-12",5.883999824523926,5.88700008392334,5.6257500648498535,5.70074987411499,5.624427795410156,1093172000
